Sumber,Tanggal,Judul,Link,Snippet
Detik,2025-01-01,"Gempa M 3,2 Terjadi di Meulaboh Aceh",https://news.detik.com/berita/d-7713663/gempa-m-3-2-terjadi-di-meulaboh-aceh,No Snippet
Detik,2025-01-01,FBI Temukan Alat Peledak Usai Truk Maut Tabrak Kerumunan Pesta Tahun Baru di AS,https://news.detik.com/internasional/d-7713660/fbi-temukan-alat-peledak-usai-truk-maut-tabrak-kerumunan-pesta-tahun-baru-di-as,No Snippet
Detik,2025-01-01,"Video Truk Tabrak Kerumunan di AS Tewaskan 10 Orang, FBI Temukan Alat Peledak",https://20.detik.com/detikupdate/20250101-250101101/video-truk-tabrak-kerumunan-di-as-tewaskan-10-orang-fbi-temukan-alat-peledak,No Snippet
Detik,2025-01-01,TMII Usut Dugaan Sekuriti Keroyok Pedagang Asongan Masuk Tak Bayar Tiket,https://news.detik.com/berita/d-7713628/tmii-usut-dugaan-sekuriti-keroyok-pedagang-asongan-masuk-tak-bayar-tiket,No Snippet
Detik,2025-01-01,BRI Nataru,https://news.detik.com/berita/d-7713617/40-ribu-orang-kunjungi-monas-saat-libur-tahun-baru-2025-hari-ini,No Snippet
Detik,2025-01-01,"Video: Lalin Padat, Contraflow Diberlakukan dari Km 65-47 Tol Japek",https://20.detik.com/detikupdate/20250101-250101100/video-lalin-padat-contraflow-diberlakukan-dari-km-65-47-tol-japek,No Snippet
Detik,2025-01-01,"Video: Lalin Normal, Contraflow Km 44-41 dan Km 21-11 Tol Jagorawi Ditutup",https://20.detik.com/detikupdate/20250101-250101099/video-lalin-normal-contraflow-km-44-41-dan-km-21-11-tol-jagorawi-ditutup,No Snippet
Detik,2025-01-01,Foto News,https://news.detik.com/foto-news/d-7713468/potret-arus-balik-libur-nataru-di-gerbang-tol-cikampek-utama,No Snippet
Detik,2025-01-01,"Video Jembatan Gantung Sungai Malus Lubuklinggau Putus, Puluhan Orang Terluka",https://20.detik.com/detikupdate/20250101-250101096/video-jembatan-gantung-sungai-malus-lubuklinggau-putus-puluhan-orang-terluka-,No Snippet
Detik,2025-01-01,BRI Nataru,https://news.detik.com/berita/d-7713587/mereka-yang-tersenyum-lebar-karena-mrt-transj-rp-1-saja,No Snippet
Detik,2025-01-01,"Kunjungi Marine Bali Safari, Bamsoet Dukung Konservasi Kehidupan Laut",https://news.detik.com/berita/d-7713586/kunjungi-marine-bali-safari-bamsoet-dukung-konservasi-kehidupan-laut,No Snippet
Detik,2025-01-01,"PPN 12% Hanya Barang Mewah, PAN: Keberpihakan Prabowo ke Rakyat Tak Diragukan",https://news.detik.com/berita/d-7713585/ppn-12-hanya-barang-mewah-pan-keberpihakan-prabowo-ke-rakyat-tak-diragukan,No Snippet
Detik,2025-01-01,"Pengemudi Truk Sengaja Tabrak Kerumunan Pesta Tahun Baru di AS, 10 Orang Tewas",https://news.detik.com/internasional/d-7713582/pengemudi-truk-sengaja-tabrak-kerumunan-pesta-tahun-baru-di-as-10-orang-tewas,No Snippet
Detik,2025-01-01,Video: Pengunjung Ragunan Tembus 112.413 Ribu di Tahun Baru 2025,https://20.detik.com/detikupdate/20250101-250101093/video-pengunjung-ragunan-tembus-112413-ribu-di-tahun-baru-2025,No Snippet
Detik,2025-01-01,Viral Pria Dikeroyok Warga Akibat Arahkan Petasan ke Jalanan di Bogor,https://news.detik.com/berita/d-7713555/viral-pria-dikeroyok-warga-akibat-arahkan-petasan-ke-jalanan-di-bogor,No Snippet
Detik,2025-01-01,Video: Yang Setuju dan Enggak soal Wacana Libur Sebulan Saat Ramadan,https://20.detik.com/detikupdate/20250101-250101089/video-yang-setuju-dan-enggak-soal-wacana-libur-sebulan-saat-ramadan,No Snippet
Detik,2025-01-01,4 Fakta Kebakaran Rumah dan Kapal di Cilincing Gara-gara Petasan,https://news.detik.com/berita/d-7713551/4-fakta-kebakaran-rumah-dan-kapal-di-cilincing-gara-gara-petasan,No Snippet
Detik,2025-01-01,Foto News,https://news.detik.com/foto-news/d-7713325/arus-balik-libur-nataru-mulai-ramai-di-pelabuhan-ulee-lheue-aceh,No Snippet
Detik,2025-01-01,BRI Nataru,https://news.detik.com/berita/d-7713542/lalin-tol-cikampek-arah-jakarta-macet-di-sejumlah-titik-malam-ini,No Snippet
Detik,2025-01-01,Video: Puncak Arus Balik Nataru di Jalur Puncak Diprediksi Terjadi Hari Ini,https://20.detik.com/detikupdate/20250101-250101090/video-puncak-arus-balik-nataru-diprediksi-hari-ini-78-ribu-kendaraan-lewat-jalur-puncak,No Snippet
Detik,2025-01-02,"Firli Bahuri Minta Kasus Disetop, Polda Metro Tegaskan Bakal Usut Tuntas",https://news.detik.com/berita/d-7715263/firli-bahuri-minta-kasus-disetop-polda-metro-tegaskan-bakal-usut-tuntas,No Snippet
Detik,2025-01-02,Tawuran di Bassura lagi-lagi Merenggut Nyawa,https://news.detik.com/berita/d-7715259/tawuran-di-bassura-lagi-lagi-merenggut-nyawa,No Snippet
Detik,2025-01-02,BRI Nataru,https://news.detik.com/berita/d-7715258/operasi-lilin-2024-ditutup-korlantas-ungkap-angka-kecelakaan-turun-12,No Snippet
Detik,2025-01-02,Sidang Etik Kasus Oknum Polisi Peras Penonton DWP Digelar Maraton,https://news.detik.com/berita/d-7715256/sidang-etik-kasus-oknum-polisi-peras-penonton-dwp-digelar-maraton,No Snippet
Detik,2025-01-02,Legislator soal PPN 12% Cuma untuk Barang Mewah: Selamatkan Sektor UMKM,https://news.detik.com/berita/d-7715253/legislator-soal-ppn-12-cuma-untuk-barang-mewah-selamatkan-sektor-umkm,No Snippet
Detik,2025-01-02,"Effendi Simbolon Temui Jokowi di Solo, Apa yang Dibahas?",https://news.detik.com/berita/d-7715220/effendi-simbolon-temui-jokowi-di-solo-apa-yang-dibahas,No Snippet
Detik,2025-01-02,"Kapal Terbalik di Tunisia, 27 Migran Tewas",https://news.detik.com/internasional/d-7715219/kapal-terbalik-di-tunisia-27-migran-tewas,No Snippet
Detik,2025-01-02,1 Oknum Polisi Didemosi 8 Tahun Buntut Pemerasan di DWP 2024,https://news.detik.com/berita/d-7715215/1-oknum-polisi-didemosi-8-tahun-buntut-pemerasan-di-dwp-2024,No Snippet
Detik,2025-01-02,"Video Absen di Balkot, Jokowi: Hubungan dengan Anies-Ahok Baik-baik Saja",https://20.detik.com/detikupdate/20250102-250102140/video-absen-di-balkot-jokowi-ngaku-hubungannya-dengan-anies-ahok-baik-baik-saja,No Snippet
Detik,2025-01-02,Video: Peran AKP Yudi Triananta dalam Pemerasan WNA di DWP,https://20.detik.com/detikupdate/20250102-250102137/video-peran-eks-panit-narkoba-pmj-akp-yudi-triananta-saat-pemerasan-wna-di-dwp-,No Snippet
Detik,2025-01-02,Video: Peradi Duga Penembakan Pengacara di Bone Sudah Direncanakan,https://20.detik.com/detikupdate/20250102-250102138/video-peradi-duga-penembakan-pengacara-di-bone-sudah-direncanakan,No Snippet
Detik,2025-01-02,"Video: AKBP Malvino Dipecat dari Polri, Terbukti Lakukan Pemerasan saat DWP",https://20.detik.com/detikupdate/20250102-250102139/video-akbp-malvino-dipecat-dari-polri-terbukti-lakukan-pemerasan-saat-dwp,No Snippet
Detik,2025-01-02,Horor Maut di Tahun Baru Saat Truk Tabrak Kerumunan Warga AS,https://news.detik.com/internasional/d-7715190/horor-maut-di-tahun-baru-saat-truk-tabrak-kerumunan-warga-as,No Snippet
Detik,2025-01-02,Peran AKBP Malvino dan AKP Yudhy Peras Penonton DWP Warga Malaysia dan RI,https://news.detik.com/berita/d-7715188/peran-akbp-malvino-dan-akp-yudhy-peras-penonton-dwp-warga-malaysia-dan-ri,No Snippet
Detik,2025-01-02,Polisi Jemput Bola Usut Viral Trio 'Bang Jago' Gedor Mobil di Bekasi,https://news.detik.com/berita/d-7715185/polisi-jemput-bola-usut-viral-trio-bang-jago-gedor-mobil-di-bekasi,No Snippet
Detik,2025-01-02,Foto News,https://news.detik.com/foto-news/d-7714895/gaya-kim-jong-un-bersama-putrinya-hadiri-perayaan-tahun-baru-di-pyongyang,No Snippet
Detik,2025-01-02,Kejagung Akan Usut Jika Ada Laporan Terkait Vonis Harvey Moeis,https://news.detik.com/berita/d-7715184/kejagung-akan-usut-jika-ada-laporan-terkait-vonis-harvey-moeis,No Snippet
Detik,2025-01-02,MK Tolak Gugatan MAKI soal Pembentukan Pansel Capim KPK,https://news.detik.com/berita/d-7715179/mk-tolak-gugatan-maki-soal-pembentukan-pansel-capim-kpk,No Snippet
Detik,2025-01-02,Pemerintah Libatkan Lion Air Group Jadi Maskapai Penerbangan Haji 2025,https://news.detik.com/berita/d-7715168/pemerintah-libatkan-lion-air-group-jadi-maskapai-penerbangan-haji-2025,No Snippet
Detik,2025-01-02,Menkum Akan Kaji Pemberlakuan Putusan Presidential Threshold Dihapus,https://news.detik.com/berita/d-7715167/menkum-akan-kaji-pemberlakuan-putusan-presidential-threshold-dihapus,No Snippet
Detik,2025-01-03,"Gabung Zona Schengen, Rumania-Bulgaria Bongkar Pos Perbatasan ke Uni Eropa",https://news.detik.com/dw/d-7716798/gabung-zona-schengen-rumania-bulgaria-bongkar-pos-perbatasan-ke-uni-eropa,No Snippet
Detik,2025-01-03,25 Tahun Pemerintahan Putin: dari Teman Reformis Berbalik Jadi Musuh Eropa,https://news.detik.com/dw/d-7716791/25-tahun-pemerintahan-putin-dari-teman-reformis-berbalik-jadi-musuh-eropa,No Snippet
Detik,2025-01-03,MK Korsel Gelar Sidang Perdana Pemakzulan Presiden Yoon 14 Januari,https://news.detik.com/internasional/d-7716787/mk-korsel-gelar-sidang-perdana-pemakzulan-presiden-yoon-14-januari,No Snippet
Detik,2025-01-03,Bripka Anditya Gugur Saat Selamatkan Wisatawan Tenggelam di Pangandaran,https://news.detik.com/berita/d-7716781/bripka-anditya-gugur-saat-selamatkan-wisatawan-tenggelam-di-pangandaran,No Snippet
Detik,2025-01-03,Polisi Bongkar Sindikat Penjual Bayi Rp 19 Juta Via FB di Batu Jatim,https://news.detik.com/berita/d-7716773/polisi-bongkar-sindikat-penjual-bayi-rp-19-juta-via-fb-di-batu-jatim,No Snippet
Detik,2025-01-03,"KCI Sebut Stasiun Karet Tak Langsung Ditutup, Butuh Kajian Lebih Lanjut",https://news.detik.com/berita/d-7716771/kci-sebut-stasiun-karet-tak-langsung-ditutup-butuh-kajian-lebih-lanjut,No Snippet
Detik,2025-01-03,Video PBNU Soal Libur Sebulan Ramadan: Sekolah Sambil Puasa Juga Nggak Apa-apa,https://20.detik.com/detikupdate/20250103-250103119/video-pbnu-soal-libur-sebulan-ramadan-sekolah-sambil-puasa-juga-nggak-apa-apa,No Snippet
Detik,2025-01-03,"Gedung 8 Lantai di Korsel Terbakar, 300 Orang Dievakuasi",https://news.detik.com/internasional/d-7716766/gedung-8-lantai-di-korsel-terbakar-300-orang-dievakuasi,No Snippet
Detik,2025-01-03,Video: Respons Jokowi soal Penghapusan Ambang Batas 20 Persen,https://20.detik.com/detikupdate/20250103-250103122/video-respons-jokowi-soal-penghapusan-ambang-batas-20-persen,No Snippet
Detik,2025-01-03,Nasib Miris Shelter Tsunami Jadi 'Kandang' Sapi gara-gara Korupsi,https://news.detik.com/berita/d-7716741/nasib-miris-shelter-tsunami-jadi-kandang-sapi-gara-gara-korupsi,No Snippet
Detik,2025-01-03,100 Orang Tewas Akibat Serangan Israel dalam 24 Jam Terakhir di Gaza,https://news.detik.com/internasional/d-7716740/100-orang-tewas-akibat-serangan-israel-dalam-24-jam-terakhir-di-gaza,No Snippet
Detik,2025-01-03,Kolom,https://news.detik.com/kolom/d-7716738/mengembangkan-ekonomi-biru-untuk-menopang-swasembada-pangan,No Snippet
Detik,2025-01-03,Foto News,https://news.detik.com/foto-news/d-7716383/nyala-lilin-kenang-korban-penembakan-massal-di-montenegro,No Snippet
Detik,2025-01-03,Menteri Maman Sebut Prabowo Akan Hadiri Launching Hapus Utang 67 Ribu UMKM,https://news.detik.com/berita/d-7716724/menteri-maman-sebut-prabowo-akan-hadiri-launching-hapus-utang-67-ribu-umkm,No Snippet
Detik,2025-01-03,BPKH Siapkan 3 Skenario Biaya Haji 2025: Jemaah Bayar Bipih Minimal 60%,https://news.detik.com/berita/d-7716720/bpkh-siapkan-3-skenario-biaya-haji-2025-jemaah-bayar-bipih-minimal-60,No Snippet
Detik,2025-01-03,SKSG UI Dukung Kapolri Dorong Pendekatan Restorative Justice,https://news.detik.com/berita/d-7716722/sksg-ui-dukung-kapolri-dorong-pendekatan-restorative-justice,No Snippet
Detik,2025-01-03,"Sempat Khawatir Insiden Prancis dan Nigeria, Usman Hamid: Alhamdulillah Libur Nataru 2025 Aman",https://news.detik.com/berita/d-7716711/sempat-khawatir-insiden-prancis-dan-nigeria-usman-hamid-alhamdulillah-libur-nataru-2025-aman,No Snippet
Detik,2025-01-03,Ketua KPK Imbau Menteri yang Belum Segera Lapor LHKPN: Saya Yakin Mereka Patuh,https://news.detik.com/berita/d-7716710/ketua-kpk-imbau-menteri-yang-belum-segera-lapor-lhkpn-saya-yakin-mereka-patuh,No Snippet
Detik,2025-01-03,"Bak Film, Bocah Zimbabwe Selamat Usai Hilang 5 Hari di Hutan Penuh Singa",https://news.detik.com/internasional/d-7716708/bak-film-bocah-zimbabwe-selamat-usai-hilang-5-hari-di-hutan-penuh-singa,No Snippet
Detik,2025-01-03,Video PBNU Soal Presidential Threshold Dihapus: MK Punya Nalar Konstitusional,https://20.detik.com/detikupdate/20250103-250103110/video-pbnu-soal-presidential-threshold-dihapus-mk-punya-nalar-konstitusional,No Snippet
Detik,2025-01-04,"Rumah di Kramat Jati Kebakaran, 11 Mobil Damkar Dikerahkan",https://news.detik.com/berita/d-7717777/rumah-di-kramat-jati-kebakaran-11-mobil-damkar-dikerahkan,No Snippet
Detik,2025-01-04,Mutasi TNI: Marsda Mohammad Syafii Jadi Kepala Basarnas,https://news.detik.com/berita/d-7717774/mutasi-tni-marsda-mohammad-syafii-jadi-kepala-basarnas,No Snippet
