ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,ORDERDATE,STATUS,QTR_ID,MONTH_ID,YEAR_ID,PRODUCTLINE,MSRP,PRODUCTCODE,CUSTOMERNAME,PHONE,ADDRESSLINE1,CITY,STATE,POSTALCODE,COUNTRY,TERRITORY,CONTACTLASTNAME,CONTACTFIRSTNAME,DEALSIZE
10107,0.2637362637362638,0.9411925601750548,2,0.17564355285438144,2003-02-24,SHIPPED,1,2,2003,Motorcycles,95,S10_1678,Land of Toys Inc.,2125557818,897 Long Airport Avenue,NYC,NY,10022,USA,EMEA,Yu,Kwai,Small
10121,0.3076923076923077,0.7449398249452954,5,0.16791599237390512,2003-05-07,SHIPPED,2,5,2003,Motorcycles,95,S10_1678,Reims Collectables,26.47.1555,59 rue de l'Abbaye,Reims,CA,51100,France,EMEA,Henriot,Paul,Small
10134,0.38461538461538464,0.9280634573304156,2,0.250150176425132,2003-07-01,SHIPPED,3,7,2003,Motorcycles,95,S10_1678,Lyon Souveniers,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,Paris,CA,75508,France,EMEA,Da Cunha,Daniel,Medium
10145,0.4285714285714286,0.7710612691466083,6,0.24003008675307907,2003-08-25,SHIPPED,3,8,2003,Motorcycles,95,S10_1678,Toys4GrownUps.com,6265557265,78934 Hillside Dr.,Pasadena,CA,90003,USA,EMEA,Young,Julie,Medium
10159,0.4725274725274726,1.0,14,0.3472725975999712,2003-10-10,SHIPPED,4,10,2003,Motorcycles,95,S10_1678,Corporate Gift Ideas Co.,6505551386,7734 Strong St.,San Francisco,CA,28034,USA,EMEA,Brown,Julie,Medium
10168,0.3296703296703297,0.9543216630196936,1,0.22040311249372274,2003-10-28,SHIPPED,4,10,2003,Motorcycles,95,S10_1678,Technics Stores Inc.,6505556809,9408 Furth Circle,Burlingame,CA,94217,USA,EMEA,Hirano,Juri,Medium
10180,0.2527472527472528,0.8103118161925602,9,0.14820152242499818,2003-11-11,SHIPPED,4,11,2003,Motorcycles,95,S10_1678,Daedalus Designs Imports,20.16.1555,"184, chausse de Tournai",Lille,CA,59000,France,EMEA,Rance,Martine,Small
10188,0.46153846153846156,1.0,1,0.3698486912777091,2003-11-18,SHIPPED,4,11,2003,Motorcycles,95,S10_1678,Herkku Gifts,+47 2267 3215,"Drammen 121, PR 744 Sentrum",Bergen,CA,N 5804,Norway,EMEA,Oeztan,Veysel,Medium
10201,0.17582417582417587,0.9804431072210065,2,0.12399462673530054,2003-12-01,SHIPPED,4,12,2003,Motorcycles,95,S10_1678,Mini Wheels Co.,6505555787,5557 North Pendale Street,San Francisco,CA,28034,USA,EMEA,Murphy,Julie,Small
10211,0.38461538461538464,1.0,14,0.3107427795836528,2004-01-15,SHIPPED,1,1,2004,Motorcycles,95,S10_1678,Auto Canal Petit,(1) 47.55.6555,"25, rue Lauriston",Paris,CA,75016,France,EMEA,Perrier,Dominique,Medium
10223,0.3406593406593407,1.0,1,0.25612929363038733,2004-02-20,SHIPPED,1,2,2004,Motorcycles,95,S10_1678,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Medium
10237,0.18681318681318687,1.0,7,0.1360955011775155,2004-04-05,SHIPPED,2,4,2004,Motorcycles,95,S10_1678,Vitachrome Inc.,2125551500,2678 Kingston Rd.,NYC,NY,10022,USA,EMEA,Frick,Michael,Small
10251,0.2417582417582418,1.0,2,0.19899828464333005,2004-05-18,SHIPPED,2,5,2004,Motorcycles,95,S10_1678,Tekni Collectables Inc.,2015559350,7476 Moss Rd.,Newark,NJ,94019,USA,EMEA,Brown,William,Medium
10263,0.3076923076923077,1.0,2,0.23488769303276974,2004-06-28,SHIPPED,2,6,2004,Motorcycles,95,S10_1678,Gift Depot Inc.,2035552570,25593 South Bay Ln.,Bridgewater,CT,97562,USA,EMEA,King,Julie,Medium
10275,0.4285714285714286,0.9019420131291027,1,0.2716939680177521,2004-07-23,SHIPPED,3,7,2004,Motorcycles,95,S10_1678,La Rochelle Gifts,40.67.8555,"67, rue des Cinquante Otages",Nantes,CA,44000,France,EMEA,Labrune,Janine,Medium
10285,0.3296703296703297,1.0,6,0.26598321994431157,2004-08-27,SHIPPED,3,8,2004,Motorcycles,95,S10_1678,Marta's Replicas Co.,6175558555,39323 Spinnaker Dr.,Cambridge,MA,51247,USA,EMEA,Hernandez,Marta,Medium
10299,0.18681318681318687,1.0,9,0.15552616157880456,2004-09-30,SHIPPED,3,9,2004,Motorcycles,95,S10_1678,"Toys of Finland, Co.",90-224 8555,Keskuskatu 45,Helsinki,CA,21240,Finland,EMEA,Karttunen,Matti,Small
10309,0.38461538461538464,1.0,5,0.2876512701212514,2004-10-15,SHIPPED,4,10,2004,Motorcycles,95,S10_1678,Baane Mini Imports,07-98 9555,Erling Skakkes gate 78,Stavern,CA,4110,Norway,EMEA,Bergulfsen,Jonas,Medium
10318,0.43956043956043966,0.9280634573304156,1,0.2849793429294292,2004-11-02,SHIPPED,4,11,2004,Motorcycles,95,S10_1678,Diecast Classics Inc.,2155551555,7586 Pompton St.,Allentown,PA,70267,USA,EMEA,Yu,Kyung,Medium
10329,0.39560439560439564,1.0,1,0.28778067551083886,2004-11-15,SHIPPED,4,11,2004,Motorcycles,95,S10_1678,Land of Toys Inc.,2125557818,897 Long Airport Avenue,NYC,NY,10022,USA,EMEA,Yu,Kwai,Medium
10341,0.38461538461538464,1.0,9,0.5334884237320662,2004-11-24,SHIPPED,4,11,2004,Motorcycles,95,S10_1678,Salzburg Collectables,6562-9555,Geislweg 14,Salzburg,CA,5020,Austria,EMEA,Pipps,Georg,Large
10361,0.15384615384615385,0.624589715536105,13,0.07123693170998194,2004-12-17,SHIPPED,4,12,2004,Motorcycles,95,S10_1678,Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Chatswood,NSW,2067,Australia,APAC,Huxley,Adrian,Small
10375,0.16483516483516486,0.10981947483588617,12,0.01845350265832492,2005-02-03,SHIPPED,1,2,2005,Motorcycles,95,S10_1678,La Rochelle Gifts,40.67.8555,"67, rue des Cinquante Otages",Nantes,CA,44000,France,EMEA,Labrune,Janine,Small
10388,0.39560439560439564,0.6766958424507659,4,0.20035704123399803,2005-03-03,SHIPPED,1,3,2005,Motorcycles,95,S10_1678,FunGiftIdeas.com,5085552555,1785 First Street,New Bedford,MA,50553,USA,EMEA,Benitez,Violeta,Medium
10403,0.19780219780219782,1.0,7,0.14355395726828163,2005-04-08,SHIPPED,2,4,2005,Motorcycles,95,S10_1678,"UK Collectables, Ltd.",(171) 555-2282,Berkeley Gardens 12  Brewery,Liverpool,CA,WX1 6LT,UK,EMEA,Devon,Elizabeth,Small
10417,0.6593406593406594,1.0,2,0.5171767273229921,2005-05-13,DISPUTED,2,5,2005,Motorcycles,95,S10_1678,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,CA,28034,Spain,EMEA,Freyre,Diego,Large
10103,0.21978021978021983,1.0,11,0.3619299637444332,2003-01-29,SHIPPED,1,1,2003,Classic Cars,214,S10_1949,Baane Mini Imports,07-98 9555,Erling Skakkes gate 78,Stavern,CA,4110,Norway,EMEA,Bergulfsen,Jonas,Medium
